expt,geckoID,trial,4_limbs,fl_ht_mm,bl_ht_mm,avg_fl_stroke_vel_vert_mms,avg_fl_stroke_vel_hor_mms,avg_bl_stroke_vel_vert_mms,avg_bl_stroke_vel_hor_mms,bl_slap_vel_mms,fl_slap_vel_mms,fl_stroke_vel_mms,bl_stroke_vel_mms,stance_s,swing_s,period_s,vel_mms,head_ht_mm,fl_slap_imp_mNs,fl_slap_force_mN,fl_stroke_ver_imp_mNs,fl_stroke_ver_force_mN,fl_stroke_hor_imp_mNs,fl_stroke_hor_force_mN,bl_slap_imp_mNs,bl_slap_force_mN,bl_stroke_ver_imp_mNs,bl_stroke_ver_force_mN,bl_stroke_hor_imp_mNs,bl_stroke_hor_force_mN,min_imp_required_mNs,amp_nose,period_nose,wl_nose,amp_headbase,period_headbase,wl_headbase,amp_bodymid,period_bodymid,wl_bodymid,amp_tailbase,period_tailbase,wl_tailbase,amp_tailmid,period_tailmid,wl_tailmid,amp_tailtip,period_tailtip,wl_tailtip,omega,tail_submerge_mm,body_submerge_mm,body_angle,l_body_above_water_cm,avg_fl_slaptime_s,avg_fl_stroketime_s,avg_bl_slaptime_s,avg_bl_stroketime_s,body_thrust_mN,tail_thrust_mN,expt_avg_period_s,step_s,weight_g,weight_mN,weight_imp,fl_mm,ffoot_mm,ffoot_cm2,ffoot_rad_mm,bl_mm,bfoot_mm,bfoot_cm2,bfoot_rad_mm,tail_len_mm,svl_mm,body_ht_mm,body_wd_mm,buoyancy_N,buoyancy_mN,body_volume,fullbodyvolume,,tail_volume,surface_tension_value,surface_tension_N,surface_tension_mN,surface_tension_imp_mNs,rho_value,v_water,buoyancy_imp_mNs,tot_leg_vert_imp_mNs,tot_leg_hor_imp_mNs,tot_leg_vert_imp/min_imp,Bo,avg_2leg_stroke_vel_mms,avg_2feet_rad_mm,We,hull_sp_mms,freq_bodymid,freq_tailtip,froude,stance_ms,swing_ms,step_ms,period_ms,coeff_drag
soap,3,14,0,,,,,,,,,,,,,,329.68,4.9386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104583,,5.4,52.92,,19.9,6.2,0.301907054,3.1,24.1,,,,45.65,59.91,8.1,14.2,0.023462094,,,9487.808048,,0,0.035,,,,940,0.00089,,,,,8.40851389,,3.1,,405.9702978,,,0.430039589,,,,,0.703
soap,3,16,0,,,,,,,,,,,,,,383.12,8.2653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104583,,5.4,52.92,,19.9,6.2,0.301907054,3.1,24.1,,,,45.65,59.91,8.1,14.2,0.023462094,,,9487.808048,,0,0.035,,,,940,0.00089,,,,,8.40851389,,3.1,,405.9702978,,,0.499747535,,,,,0.703
soap,3,19,0,,,,,,,,,,,,,,207.01,8.7337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104583,,5.4,52.92,,19.9,6.2,0.301907054,3.1,24.1,,,,45.65,59.91,8.1,14.2,0.023462094,,,9487.808048,,0,0.035,,,,940,0.00089,,,,,8.40851389,,3.1,,405.9702978,,,0.270026982,,,,,0.703
soap,3,8,1,4.0828,9.7411,567.18,452.21,568.94,1060.2,1036.2,409.27,567.18,568.94,0.025,0.063333,0.089333,392.6,7.4359,0.0163,1.7417,0.19246,7.6983,0.18666,7.4663,0.082,9.4565,0.39849,16.957,0.51941,22.103,2.36375118,8.6021,48,37.334,5.5766,53,40.553,7.6023,46,41.016,7.2515,40,37.796,19.565,48,38.713,34.435,46,40.332,69.11503838,5.409947147,15.64155576,153.6,1.424108958,0.0093333,0.025,0.0086667,0.0235,5.052081206,0.016197864,0.104583,0.0446665,5.4,52.92,2.36375118,19.9,6.2,0.301907054,3.1,24.1,,,,45.65,59.91,8.1,14.2,0.023462094,38.04352546,4.13E-06,9.49E+03,4.35E-01,0,0.035,,,,940,0.00089,1.69927113,0.68925,0.70607,0.291591605,8.40851389,568.06,3.1,13.89906484,405.9702978,0.136590985,0.136590985,0.512113391,25,63.333,44.6665,89.333,0.703
soap,3,10,1,4.3602,9.3861,398.34,398.96,422.61,746.07,740.77,284.39,398.34,422.61,0.03,0.092,0.12333,289.35,9.8434,0.0113,1.2103,0.18761,6.2537,0.18758,6.2527,0.0586,5.0945,0.3975,14.402,0.43025,15.589,3.2633118,8.6073,66,41.238,8.84,58,40.209,11.141,73,41.358,13.177,49,34.595,14.381,67,43.218,35.701,47,33.988,67.64450565,7.088358856,15.66546065,133.25,1.246578127,0.0093333,0.03,0.0115,0.0276,4.314811523,0.005885207,0.104583,0.061665,5.4,52.92,3.2633118,19.9,6.2,0.301907054,3.1,24.1,,,,45.65,59.91,8.1,14.2,0.023462094,39.52240872,4.29E-06,9.49E+03,4.52E-01,0,0.035,,,,940,0.00089,2.437149334,0.65501,0.61783,0.200719404,8.40851389,410.475,3.1,7.257224953,405.9702978,0.086071032,0.133684794,0.377432526,30,92,61.665,123.33,0.703
soap,3,11,1,3.0769,9.8299,410.62,656.43,495.02,859.69,756.66,190.59,410.62,495.02,0.028,0.082,0.113,297.34,10.476,0.00757,0.68821,0.18711,6.6825,0.20142,7.1936,0.0598,5.9844,0.39369,14.06,0.45929,16.403,2.98998,8.5044,43,28.756,7.2058,50,31.937,7.7773,59,37.342,7.5534,58,33.18,16.871,55,33.975,35.002,43,29.125,73.9370178,12.54506031,16.81548004,137.35,1.488819623,0.011,0.028,0.01,0.028,3.455246069,0.021272401,0.104583,0.0565,5.4,52.92,2.98998,19.9,6.2,0.301907054,3.1,24.1,,,,45.65,59.91,8.1,14.2,0.023462094,37.50446687,4.07E-06,9.49E+03,4.29E-01,0,0.035,,,,940,0.00089,2.119002378,0.64817,0.66071,0.216780714,8.40851389,452.82,3.1,8.831782453,405.9702978,0.106494666,0.146120589,0.387854803,28,82,56.5,113,0.703
soap,3,13,1,6.1791,12.399,293.68,387.73,164.59,707.03,931.15,396.67,293.68,164.59,0.027,0.078,0.104,292.21,10.053,0.0158,1.9695,0.20239,7.496,0.1882,6.9704,0.0736,6.498,0.64805,21.968,0.42153,14.289,2.75184,8.2991,45,31.591,9.5862,50,33.918,12.854,40,23.977,10.936,45,25.146,20.381,50,42.113,36.783,65,42.651,48.33219467,7.512155592,14.79777749,137.2,1.655186386,0.008,0.027,0.011333,0.0295,18.07045687,0.022493811,0.104583,0.052,5.4,52.92,2.75184,19.9,6.2,0.301907054,3.1,24.1,,,,45.65,59.91,8.1,14.2,0.023462094,36.11858354,3.92E-06,9.49E+03,4.13E-01,0,0.035,,,,940,0.00089,1.878166344,0.93984,0.60973,0.341531484,8.40851389,229.135,3.1,2.261413738,405.9702978,0.157079633,0.096664389,0.381163153,27,78,52,104,0.703
soap,3,15,1,,,,,,,,,,,,,,403.25,10.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104583,,5.4,52.92,,19.9,6.2,0.301907054,3.1,24.1,,,,45.65,59.91,8.1,14.2,0.023462094,,,9487.808048,,0,0.035,,,,940,0.00089,,,,,8.40851389,,3.1,,405.9702978,,,0.526005412,,,,,0.703
soap,6,4,0,,,,,,,,,,,,,,310.39,9.3399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104583,,4.89,47.922,,19.3,7,0.3848451,3.5,22.8,8.1,0.515299735,4.05,63.8,54.4,11.3,16,0.03894067,,,10937.76898,,0,0.035,0.001660332,1.660331717,,940,0.00089,,,,,9.207247743,,3.775,,429.5891538,,,0.424887317,,,,,0.703
soap,6,5,1,2.2098,2.9129,508.92,583.7,439.08,598.05,59.523,71.428,508.92,439.08,0.032,0.094,0.118,280.56,5.5282,0.00408,0.40832,0.22999,7.1872,0.23707,7.4084,0.00527,0.43934,0.39168,13.989,0.40141,14.336,2.827398,19.321,70,45.985,14.441,60,39.267,19.115,70,47.685,12.977,60,44.211,23.226,60,45.795,61.185,55,56.676,57.11986643,10.68935054,13.59090322,135.3207143,1.464145355,0.01,0.032,0.012,0.028,10.88219381,0.040342708,0.104583,0.059,4.89,47.922,2.827398,19.3,7,0.3848451,3.5,22.8,8.1,0.515299735,4.05,63.8,54.4,11.3,16,0.03894067,52.06137893,5.65E-06,1.09E+04,5.16E-01,0,0.035,0.001660332,1.660331717,0.097959571,940,0.00089,3.071621357,0.63102,0.63848,0.223180465,9.207247743,474,3.775,11.78444429,429.5891538,0.08975979,0.114239733,0.384053564,32,94,59,118,0.703
